Name,Population,Area,Population_density,Latitude,Longitude
Dobong-gu,"355,712",20.70 km²,17184/km²,37.6686,127.0466
Dongdaemun-gu,"376,319",14.21 km²,26483/km²,37.5742,127.0395
Dongjak-gu,"419,261",16.35 km²,25643/km²,37.5120999,126.9395
Eunpyeong-gu,"503,243",29.70 km²,16944/km²,37.6024,126.9293
Gangbuk-gu,"338,410",23.60 km²,14339/km²,37.6395,127.0255
Gangdong-gu,"481,332",24.59 km²,19574/km²,37.53,127.1237
Gangnam-gu,"583,446",39.50 km²,14771/km²,37.5177,127.0473
Gangseo-gu,"591,653",41.43 km²,14281/km²,37.5509,126.8497
Geumcheon-gu,"258,030",13.02 km²,19818/km²,37.4565,126.8954
Guro-gu,"457,131",20.12 km²,22720/km²,37.4951999,126.8877
Gwanak-gu,"531,960",29.57 km²,17990/km²,37.4782,126.9518
Gwangjin-gu,"377,375",17.06 km²,22120/km²,37.5384,127.0828
Jongno-gu,"165,344",23.91 km²,6915/km²,37.5803102,126.9830792
Jung-gu,"136,227",9.96 km²,13677/km²,37.5636559,126.9975097
Jungnang-gu,"423,411",18.50 km²,22887/km²,37.6063,127.093
Mapo-gu,"395,830",23.84 km²,16604/km²,37.566571,126.9015317
Nowon-gu,"586,056",35.44 km²,16536/km²,37.654,127.0567
Seocho-gu,"454,288",47.00 km²,9666/km²,37.4835,127.0322
Seodaemun-gu,"320,861",17.61 km²,18220/km²,37.5790747,126.9367861
Seongbuk-gu,"475,961",24.58 km²,19364/km²,37.59,127.0165
Seongdong-gu,"303,891",16.86 km²,19364/km²,37.5635,127.0365
Songpa-gu,"671,794",33.88 km²,19829/km²,37.5145,127.1058
Yangcheon-gu,"490,708",17.40 km²,28202/km²,37.5171,126.8663
Yeongdeungpo-gu,"421,436",24.53 km²,17180/km²,37.5262,126.8959
Yongsan-gu,"249,914",21.87 km²,11427/km²,37.5323,126.99
